age,salary,balance,credit_score,tenure,products,active_member,churn
67,45510,154741,668,3,2,0,1
45,39426,165140,376,14,3,0,0
45,57265,219861,358,8,2,1,0
54,37850,140507,730,4,2,0,1
58,138249,225160,799,11,2,1,0
53,86150,183321,408,11,1,1,1
44,107312,37384,577,11,2,0,0
34,109613,81929,367,2,3,1,0
26,94910,127959,368,17,1,0,0
50,72375,76153,464,9,3,1,0
37,141826,235128,788,2,3,0,1
30,55435,75388,604,15,1,1,0
45,116443,31401,664,16,3,0,0
65,77132,202903,678,4,3,1,0
46,98945,119503,642,8,1,1,0
30,102050,246832,653,9,3,1,0
63,149828,232601,715,5,2,0,1
52,115402,127834,408,16,3,0,1
23,22983,34084,796,13,2,1,0
35,117241,110641,640,7,3,0,0
68,40662,105111,682,17,1,1,0
22,43510,186898,832,3,1,0,0
64,98187,167523,599,5,3,1,0
42,60998,138299,438,19,1,0,0
19,76846,162982,658,12,3,1,0
27,114071,36041,798,7,1,1,0
47,26640,88920,684,9,2,1,0
67,64547,65681,579,6,3,1,0
62,74620,234386,782,17,2,0,1
22,35317,81571,410,16,2,1,1
50,135608,196553,438,3,3,0,0
18,27564,199648,734,4,2,0,1
35,47345,239030,808,10,3,1,0
49,133824,127556,572,5,2,0,0
64,114223,195246,398,10,3,0,1
66,143372,26160,403,12,3,0,0
28,99273,246242,513,10,1,1,0
38,94859,248939,464,13,3,0,0
43,100765,17633,819,11,3,0,1
42,130017,225952,583,16,2,1,0
39,94038,17014,816,8,3,1,0
44,143618,80532,463,8,1,0,0
66,72393,49104,363,8,2,1,1
30,86081,172693,390,13,2,0,0
50,145341,77231,416,2,1,0,0
51,122650,68388,566,12,2,0,1
58,49430,16014,439,10,2,1,0
52,95532,92578,545,12,2,0,1
18,47788,164827,694,11,2,1,0
38,115505,40390,786,15,1,1,0
65,68543,23711,775,16,1,0,0
23,33919,91658,816,17,2,1,1
45,89346,57993,483,2,2,1,0
34,116122,205768,319,18,1,1,0
22,59974,158285,823,12,1,1,0
48,127309,246860,828,19,1,1,0
22,36371,236028,446,18,2,0,0
55,65084,188856,603,17,2,1,0
20,49629,7421,527,6,3,0,1
40,71184,218008,401,15,1,0,1
54,81916,230145,716,3,2,0,1
54,147293,17727,515,6,1,0,0
27,93972,112418,706,3,2,0,0
27,82187,4358,698,1,1,0,1
36,32984,65108,798,13,2,1,1
34,53039,94018,764,14,3,1,0
38,105431,124457,381,13,3,1,0
31,103691,163189,664,4,1,0,0
26,78606,219772,462,7,2,1,0
63,30616,31910,347,10,2,1,1
18,122665,126888,810,7,1,1,0
68,125373,229104,628,15,2,0,1
62,70072,55754,415,15,1,1,1
30,44574,193510,636,4,2,0,1
21,23430,109847,446,6,1,1,0
18,139123,160443,622,5,2,0,0
66,32676,182573,742,12,1,0,0
57,30816,192018,312,1,2,0,1
49,52733,38467,793,8,3,1,0
51,105680,148697,586,1,2,1,0
45,22050,33893,413,5,1,0,1
48,129996,76329,779,6,3,1,0
25,53933,31007,321,3,2,0,1
56,44951,222374,648,15,3,0,1
43,52413,170604,619,5,2,1,0
51,54801,54253,425,14,3,1,0
20,75619,12323,576,18,1,1,0
67,52913,111335,503,16,2,0,1
29,132573,112356,493,6,2,0,0
18,139076,110944,846,14,1,1,0
61,60600,204451,585,8,3,0,0
22,77775,145282,356,7,1,1,0
47,110816,16456,602,8,1,0,0
47,149972,31367,462,13,3,1,0
34,110093,54624,318,6,1,1,0
65,132590,141178,669,18,2,0,1
64,55400,234565,563,2,2,1,0
40,24494,68008,412,8,2,1,0
32,100688,125926,787,11,1,0,0
54,142744,115395,626,1,2,1,1
38,109431,116492,841,6,2,0,0
31,94691,72240,364,16,2,1,0
19,117419,64315,591,12,2,0,0
28,128730,200321,324,11,2,1,0
68,63001,201659,848,10,2,1,1
56,87364,10756,300,3,1,1,0
55,144988,199083,848,13,2,1,0
51,65028,36378,440,3,2,0,0
55,127434,135327,487,15,3,0,1
67,117659,145556,427,16,1,0,1
51,57573,125703,500,13,1,0,1
35,20806,56549,426,17,1,0,1
47,144343,165575,556,3,1,0,0
32,76638,73794,846,11,2,0,0
44,148301,237355,493,19,2,1,0
68,146295,231804,403,11,3,1,0
51,126506,45113,834,16,3,1,1
69,49757,236802,564,3,1,1,0
55,54636,74069,683,6,3,0,1
50,100097,229189,559,14,3,0,0
41,68280,136321,713,18,1,0,0
32,44262,150273,657,17,1,1,0
47,100435,125541,374,4,3,0,0
59,82211,189648,654,15,2,1,0
68,74842,249634,487,11,3,0,1
34,148583,9686,589,3,3,0,1
22,76979,243485,344,3,2,0,1
46,134524,53363,382,16,2,0,0
21,101470,97543,422,5,1,1,0
27,58197,131733,657,10,1,1,0
34,61844,175915,827,19,3,0,0
27,84754,95673,365,4,2,1,0
34,121868,192035,674,19,1,0,0
37,54157,244164,461,11,3,0,0
41,97129,42828,679,2,2,0,1
22,60042,48604,657,10,3,0,0
51,81665,10526,487,11,1,1,0
23,135512,68910,621,16,1,0,1
19,136953,25592,749,19,2,0,0
30,102856,28982,773,11,3,1,0
60,47376,207,312,14,2,0,1
60,129049,232041,483,2,1,1,1
65,75554,248253,410,5,1,0,1
28,34199,88733,807,5,3,0,1
68,138533,230008,589,19,3,0,1
64,101412,124982,594,12,3,0,0
40,70948,68619,750,18,2,0,0
33,93781,160400,514,4,3,0,0
48,92750,46479,326,17,3,1,0
28,86262,239499,530,10,1,0,0
33,137424,151175,620,6,1,1,0
25,66600,170963,532,14,3,1,0
21,96898,141826,736,11,3,0,0
57,82483,231055,832,11,1,1,1
21,38297,81437,702,18,3,0,0
42,50448,98540,352,18,2,1,0
20,46172,72982,612,11,2,0,1
49,62874,102747,580,12,2,1,0
20,27657,186994,330,5,3,1,1
44,104386,48231,636,9,1,0,1
46,145617,29301,482,9,3,1,0
49,45425,222724,322,10,3,0,0
67,46685,193783,843,19,1,0,1
68,142000,172395,745,1,1,0,1
36,132855,18752,373,7,1,0,0
38,44578,228984,309,4,2,0,0
22,48831,213277,783,1,3,1,0
35,27906,98452,755,15,1,1,0
45,81413,144467,459,8,3,1,0
59,74028,217029,313,12,2,0,1
39,27287,121237,477,18,2,1,1
38,53660,56273,711,15,1,1,0
23,95758,91878,352,17,1,1,0
18,80504,4895,707,14,3,1,0
22,79720,119968,321,14,1,1,0
58,122979,115700,329,18,3,0,0
29,54701,76559,559,18,1,0,1
43,103300,10699,504,16,3,1,0
63,130177,196133,358,1,3,0,1
51,37674,9715,770,11,3,0,1
66,103560,19169,765,15,3,1,0
31,131543,118413,311,12,2,1,0
43,43874,147235,589,8,3,0,0
62,63642,119264,653,6,1,1,0
44,143867,5782,374,3,2,0,1
26,117820,219249,740,13,2,0,1
43,85160,124481,540,13,3,1,0
64,37602,215400,453,2,2,0,1
39,123320,246100,395,5,3,0,0
64,108801,35585,593,17,1,0,0
47,45931,30682,508,6,3,1,0
60,114377,178936,642,2,2,1,0
65,49192,129992,387,4,1,1,1
34,66542,84416,689,11,3,1,0
43,147015,186186,624,8,1,0,0
53,62520,127810,456,12,1,1,1
18,84772,38067,436,8,2,1,0
25,78762,173757,727,11,1,1,0
66,70106,18073,751,8,2,1,0
52,101121,36035,440,8,1,0,1
69,45559,196049,382,17,3,0,1
32,125595,233782,476,16,1,0,1
64,53742,90373,497,14,3,1,0
39,89669,83362,720,11,3,1,0
31,100199,90517,700,7,1,0,1
43,41754,65450,770,16,3,1,0
45,23972,10382,517,13,1,1,0
40,90831,135509,474,15,1,0,1
31,132217,202043,322,16,3,0,1
41,61873,195684,534,9,3,1,0
19,114661,221427,312,3,2,1,0
62,126532,61929,400,19,3,1,0
43,146267,233483,835,5,2,0,1
31,29903,228590,822,10,3,0,0
68,23020,98864,751,17,1,0,1
24,61755,143401,730,15,3,0,1
20,105956,25169,832,8,1,1,0
64,106988,87468,592,15,1,0,1
40,65648,34594,400,14,1,0,0
63,123537,208029,801,7,2,1,0
60,145991,191703,603,12,3,1,0
64,29516,45033,839,17,1,1,1
62,132863,63133,654,17,1,0,0
35,135005,204237,602,10,2,1,0
55,22396,73861,795,19,3,1,1
